tx_id,gene_id
ENST00000423647,ENSG00000258992
ENST00000382653,ENSG00000244395
ENST00000382680,ENSG00000244395
ENST00000418956,ENSG00000244395
ENST00000344884,ENSG00000169953
ENST00000491902,ENSG00000169953
ENST00000382852,ENSG00000169953
ENST00000304790,ENSG00000169953
ENST00000707589,ENSG00000291455
ENST00000707590,ENSG00000291455
ENST00000707591,ENSG00000291455
ENST00000707592,ENSG00000291455
ENST00000707593,ENSG00000291455
ENST00000469599,ENSG00000012817
ENST00000317961,ENSG00000012817
ENST00000541639,ENSG00000012817
ENST00000382806,ENSG00000012817
ENST00000492117,ENSG00000012817
ENST00000440077,ENSG00000012817
ENST00000415360,ENSG00000012817
ENST00000485154,ENSG00000012817
ENST00000478891,ENSG00000012817
ENST00000447300,ENSG00000012817
ENST00000707597,ENSG00000291458
ENST00000707598,ENSG00000291458
ENST00000707599,ENSG00000291458
ENST00000707600,ENSG00000291458
ENST00000707601,ENSG00000291458
ENST00000707602,ENSG00000291459
ENST00000307393,ENSG00000172468
ENST00000309834,ENSG00000172468
ENST00000338876,ENSG00000172468
ENST00000382856,ENSG00000172468
ENST00000321217,ENSG00000176679
ENST00000559055,ENSG00000176679
ENST00000303766,ENSG00000169800
ENST00000481858,ENSG00000169800
ENST00000454978,ENSG00000169800
ENST00000250838,ENSG00000182415
ENST00000382287,ENSG00000185894
ENST00000602559,ENSG00000185894
ENST00000618574,ENSG00000185894
ENST00000602680,ENSG00000185894
ENST00000415508,ENSG00000205916
ENST00000382314,ENSG00000205916
ENST00000449750,ENSG00000205916
ENST00000682740,ENSG00000205916
ENST00000382432,ENSG00000205916
ENST00000440066,ENSG00000205916
ENST00000382296,ENSG00000205916
