"","ENSEMBL","ENTREZID","SYMBOL"
"365","ENSG00000182568","6304","SATB1"
"366","ENSG00000183604",NA,NA
"367","ENSG00000183696","7378","UPP1"
"368","ENSG00000183770","668","FOXL2"
"369","ENSG00000183798","90187","EMILIN3"
"370","ENSG00000184144","6900","CNTN2"
"371","ENSG00000184185","3768","KCNJ12"
"372","ENSG00000184368","256714","MAP7D2"
"373","ENSG00000184678","8349","H2BC21"
"374","ENSG00000184785","644538","SMIM10"
"375","ENSG00000184992","140707","BRI3BP"
"376","ENSG00000185090","149175","MANEAL"
"377","ENSG00000185567","113146","AHNAK2"
"378","ENSG00000185634","399694","SHC4"
"379","ENSG00000186472","27445","PCLO"
"380","ENSG00000186480","3638","INSIG1"
"381","ENSG00000186529","4051","CYP4F3"
"382","ENSG00000186868","4137","MAPT"
"383","ENSG00000187479","387763","C11orf96"
"384","ENSG00000187486","3767","KCNJ11"
"385","ENSG00000187672","26059","ERC2"
"386","ENSG00000187796","64170","CARD9"
"387","ENSG00000188582","344838","PAQR9"
"388","ENSG00000188868","147837","ZNF563"
"389","ENSG00000188916","642938","INSYN2A"
"390","ENSG00000189057","374393","FAM111B"
"391","ENSG00000189253","642446","TRIM64B"
"392","ENSG00000189348",NA,NA
"393","ENSG00000189410","400745","SH2D5"
"394","ENSG00000196139","8644","AKR1C3"
"395","ENSG00000196220","9901","SRGAP3"
"396","ENSG00000197191","375791","CYSRT1"
"397","ENSG00000197324","26020","LRP10"
"398","ENSG00000197461","5154","PDGFA"
"399","ENSG00000197558","23145","SSPOP"
"400","ENSG00000197705","57565","KLHL14"
"401","ENSG00000197977","54898","ELOVL2"
"402","ENSG00000198053","140885","SIRPA"
"403","ENSG00000198056","5557","PRIM1"
"404","ENSG00000198133","161145","TMEM229B"
"405","ENSG00000198354","340578","DCAF12L2"
"406","ENSG00000198732","64093","SMOC1"
"407","ENSG00000198734","2153","F5"
"408","ENSG00000198788","4583","MUC2"
"409","ENSG00000198885","150771","ITPRIPL1"
"410","ENSG00000198924","9937","DCLRE1A"
"411","ENSG00000198929","9722","NOS1AP"
"412","ENSG00000203499","642574","IQANK1"
"413","ENSG00000203811","126961","H3C14"
"414","ENSG00000204060","100132074","FOXO6"
"415","ENSG00000204128","257407","C2orf72"
"416","ENSG00000204228","7923","HSD17B8"
"417","ENSG00000204315","63943","FKBPL"
"418","ENSG00000204344","8859","WHR1"
"419","ENSG00000204397","114769","CARD16"
"420","ENSG00000204449","642612","TRIM49C"
"421","ENSG00000204767","100131897","INSYN2B"
"422","ENSG00000204918","729233","PRR20B"
"423","ENSG00000205090","339453","TMEM240"
"424","ENSG00000205277","10071","MUC12"
"425","ENSG00000205336","9289","ADGRG1"
"426","ENSG00000205593","414918","DENND6B"
"427","ENSG00000205978","57523","NYNRIN"
"428","ENSG00000206190","57194","ATP10A"
"429","ENSG00000206262","401089","FOXL2NB"
"430","ENSG00000211592","3514","IGKC"
"431","ENSG00000211677","3538","IGLC2"
"432","ENSG00000211890","3494","IGHA2"
"433","ENSG00000211897","3502","IGHG3"
"434","ENSG00000211899","3507","IGHM"
"435","ENSG00000213178",NA,NA
"436","ENSG00000213626","81606","LBH"
"437","ENSG00000213689","11277","TREX1"
"438","ENSG00000213859","147040","KCTD11"
"439","ENSG00000214189",NA,NA
"440","ENSG00000214796",NA,NA
"441","ENSG00000220008","645191","LINGO3"
"442","ENSG00000221968","3995","FADS3"
"443","ENSG00000222009","149478","BTBD19"
"444","ENSG00000223638","342931","RFPL4A"
"445","ENSG00000224389","721","C4B"
"446","ENSG00000225581","642569","TRIM53AP"
"447","ENSG00000226887","100288413","ERVMER34-1"
"448","ENSG00000226916","9277","WDR46"
"449","ENSG00000227074","401251","SAPCD1"
"450","ENSG00000227315","4758","NEU1"
"451","ENSG00000228267","721","C4B"
"452","ENSG00000229292","729974","RFPL4AL1"
"453","ENSG00000229767","780","DDR1"
"454","ENSG00000230522","125997","MBD3L2"
"455","ENSG00000230678","6046","BRD2"
"456","ENSG00000231500","6222","RPS18"
"457","ENSG00000232326","6891","TAP2"
"458","ENSG00000232815",NA,NA
"459","ENSG00000233641","221545","C6orf136"
"460","ENSG00000234078","780","DDR1"
"461","ENSG00000234947","8859","WHR1"
"462","ENSG00000235715","5696","PSMB8"
"463","ENSG00000237172","84752","B3GNT9"
"464","ENSG00000239521",NA,NA
"465","ENSG00000239887","400793","C1orf226"
"466","ENSG00000240356",NA,NA
"467","ENSG00000240891","257068","PLCXD2"
"468","ENSG00000241370","79897","RPP21"
"469","ENSG00000241370","202658","TRIM39-RPP21"
"470","ENSG00000242265","23089","PEG10"
"471","ENSG00000243509","8771","TNFRSF6B"
"472","ENSG00000244207","720","C4A"
"473","ENSG00000244207","110384692","C4A_2"
"474","ENSG00000244607","152206","CCDC13"
"475","ENSG00000244731","720","C4A"
"476","ENSG00000244731","110384692","C4A_2"
"477","ENSG00000249156","112488739","TAF11L12"
"478","ENSG00000249620","391744","H3P18"
"479","ENSG00000249992","25907","TMEM158"
"480","ENSG00000251258","442247","RFPL4B"
"481","ENSG00000254415","100049587","SIGLEC14"
"482","ENSG00000254764","340970","TRIM53CP"
"483","ENSG00000255855","100129053","KDM4F"
"484","ENSG00000256664",NA,NA
"485","ENSG00000256667",NA,NA
"486","ENSG00000256980","100129128","KHDC1L"
"487","ENSG00000258986","388021","TMEM179"
"488","ENSG00000259479",NA,NA
"489","ENSG00000260007",NA,NA
"490","ENSG00000261150","83481","EPPK1"
"491","ENSG00000261509","24150","TP53TG3"
"492","ENSG00000261509","729264","TP53TG3D"
"493","ENSG00000261509","729355","TP53TG3B"
"494","ENSG00000261509","102723655","LOC102723655"
"495","ENSG00000261509","102723713","LOC102723713"
"496","ENSG00000261794","728498","GOLGA8H"
"497","ENSG00000261796","100534599","ISY1-RAB43"
"498","ENSG00000264619",NA,NA
"499","ENSG00000265972","10628","TXNIP"
"500","ENSG00000266027",NA,NA
"501","ENSG00000266074","57597","BAHCC1"
"502","ENSG00000267908","646698","ZSCAN5DP"
"503","ENSG00000268173",NA,NA
"504","ENSG00000268799","340096","H3Y2"
"505","ENSG00000269095",NA,NA
"506","ENSG00000269466","391769","H3Y1"
"507","ENSG00000270765","246176","GAS2L2"
"508","ENSG00000270882","8370","H4C14"
"509","ENSG00000272921",NA,NA
"510","ENSG00000273873","55814","BDP1"
"511","ENSG00000273889","286077","SACK1H"
"512","ENSG00000274180","256302","NATD1"
"513","ENSG00000274750","8353","H3C6"
"514","ENSG00000274808","414059","TBC1D3B"
"515","ENSG00000274808","101060321","TBC1D3G"
"516","ENSG00000275365","4320","MMP11"
"517","ENSG00000275395","8857","FCGBP"
"518","ENSG00000275482","2051","EPHB6"
"519","ENSG00000275544","622","BDH1"
"520","ENSG00000275767",NA,NA
"521","ENSG00000276876","4661","MYT1"
"522","ENSG00000276959","79165","LENG1"
"523","ENSG00000277005",NA,NA
"524","ENSG00000277101","26084","ARHGEF26"
"525","ENSG00000277196",NA,NA
"526","ENSG00000277303","100170841","EPOP"
"527","ENSG00000277633",NA,NA
"528","ENSG00000277956","4137","MAPT"
"529","ENSG00000278326","57718","PPP4R4"
"530","ENSG00000278372","80179","MYO19"
"531","ENSG00000278535","79154","DHRS11"
"532","ENSG00000278704",NA,NA
"533","ENSG00000278728","26047","CNTNAP2"
"534","ENSG00000280165","64881","PCDH20"
"535","ENSG00000280680","55733","HHAT"
"536","ENSG00000280908","23569","PADI4"
"537","ENSG00000281289","4047","LSS"
"538","ENSG00000281320","9149","DYRK1B"
"539","ENSG00000281618","402778","IFITM10"
"540","ENSG00000281935","196385","DNAH10"
"541","ENSG00000282258",NA,NA
"542","ENSG00000282522",NA,NA
"543","ENSG00000282633",NA,NA
"544","ENSG00000282895","126432","RINL"
"545","ENSG00000283496","104326056","ZNF511-PRAP1"
"546","ENSG00000283740","112488746","TAF11L11"
"547","ENSG00000283949","100288687","DUX4"
"548","ENSG00000284320","6470","SHMT1"
"549","ENSG00000284841","92815","H2AC25"
"550","ENSG00000284872","57604","TRMT9B"
"551","ENSG00000285222","2651","GCNT2"
"552","ENSG00000285329",NA,NA
"553","ENSG00000285444",NA,NA
"554","ENSG00000285625",NA,NA
"555","ENSG00000285816",NA,NA
"556","ENSG00000286192",NA,NA
"557","ENSG00000287725",NA,NA
"558","ENSG00000288149","90019","SYT8"
"559","ENSG00000288160","102724536","PRR33"
"560","ENSG00000288195","79883","PODNL1"
"561","ENSG00000288219","7136","TNNI2"
"562","ENSG00000288318","342979","PALM3"
"563","ENSG00000288360","65249","ZSWIM4"
"564","ENSG00000288488","90378","SAMD1"
"565","ENSG00000288825","8337","H2AC18"
"566","ENSG00000289027",NA,NA
"567","ENSG00000291381","128272","ARHGEF19"
"568","ENSG00000291431","1850","DUSP8"
"569","ENSG00000291660",NA,NA
"570","ENSG00000291703",NA,NA
"571","ENSG00000292076","129868","TRIM43"
"572","ENSG00000292076","653192","TRIM43B"
"573","ENSG00000293554",NA,NA
