"","CHP212_WT_DMSO_1","CHP212_WT_DMSO_2","CHP212_WT_Nutlin_1","CHP212_WT_Nutlin_2","CHP212_KO_DMSO_1","CHP212_KO_DMSO_2","CHP212_KO_Nutlin_1","CHP212_KO_Nutlin_2"
"ENSG00000011007",3790,3606,3632,3112.999,4267,4740,4128.001,3432.001
"ENSG00000011009",2390,2332,3921.999,3382.999,1968.999,2044.999,2309.999,2061
"ENSG00000011021",1105.581,1026.826,993.788,1117.259,1308.492,1393.916,1443.389,1192.492
"ENSG00000011028",12294.001,10711,8882.001,8541.999,5201.999,5858,5352,4790.999
"ENSG00000011052",61405.562,57560.185,72164.425,61146.524,62273.536,64862.088,74129.95,66108.033
"ENSG00000011083",0,0,0,2,0,0,0,0
"ENSG00000011105",3258,2799,4491,4262,3869,4126.001,3726.001,3556.001
"ENSG00000011114",0,0,0,0,0,0,0,0
"ENSG00000011132",1268.564,907.105,1090.676,1171.984,1297.958,1498.894,1666.524,1516.371
"ENSG00000011143",3642.52,3402.541,3880.999,3674.167,5251.007,5454.385,6115.978,5265.563
"ENSG00000011198",888.999,848,934.999,723.999,1551.999,1760.999,1760.001,1491.001
"ENSG00000011201",11,14,14,22,184,237,400,348
"ENSG00000011243",6904,6282.995,8450.001,7980.001,7868,8012.002,9667.003,8645
"ENSG00000011258",6251.466,5850.927,7271,7019.049,10150.754,11342.038,10078.011,9758.014
"ENSG00000011260",13260.999,12446.001,8985,7757.999,12645,13843,10983,9897.001
"ENSG00000011275",4578.074,4248.753,4189.887,4145.977,5162.775,5869.348,5066.657,4529.692
"ENSG00000011295",4228.599,4409.998,5440.307,4306.917,5486.872,5896.817,6110.546,5242.713
"ENSG00000011304",39551.003,37642,23492.999,22269.999,35157.997,39286.998,27468.998,25119.002
"ENSG00000011332",870,878.001,467.999,406,906,979.998,671,654.001
"ENSG00000011347",96,103,50,36,1778.999,1814.001,1787,1482
"ENSG00000011376",3238,3018.999,3248,3200,3425,3341.999,3509.001,3150.003
"ENSG00000011405",3636.519,3457.211,3409.999,3497.107,3892.159,4032.654,3608.716,3330.818
"ENSG00000011422",675.002,666,521,384.998,140,102,54,88
"ENSG00000011426",13487.001,13151.001,4188.999,4195.999,9774,11195,4604,4516.999
"ENSG00000011451",6308.999,6140.001,6806.999,6316.001,8558.003,9822.001,9212.999,8392.002
"ENSG00000011454",3847.303,3766.569,4322.257,4261.244,4933.856,5358.201,5178.344,4674.474
"ENSG00000011465",392.077,432.148,360.377,259.051,2443.005,2872,1902.001,1426.739
"ENSG00000011478",985.693,821.457,643.286,565.169,1270.532,1396.165,889.698,891.062
"ENSG00000011485",9945.001,9519.999,7817.002,7204.999,10237.001,10995,10183.982,8677.999
"ENSG00000011523",2803.347,2536.702,2690.003,2603.557,4610.982,5203.364,4969.802,4188.019
"ENSG00000011566",2613.001,2352.001,2564.999,2496.002,2959,3578.002,3025,2590
"ENSG00000011590",13,15,10,17,27,33,39,41
"ENSG00000011600",8,2,18,28,10,6,12,12
"ENSG00000011638",514.015,566.814,874.029,714.013,901.017,973.17,1121.989,1006.673
"ENSG00000011677",6,2,2,4,0,2,8,5
"ENSG00000012048",10407.098,9821.554,2153.991,2000.433,11319.03,12137.073,3463.204,3362.305
"ENSG00000012061",4959.773,4762.29,5279.982,4715.914,5775.301,6494.013,6386.07,5745.109
"ENSG00000012124",30,38,177.001,68,5,9,28,30.88
"ENSG00000012171",1809.013,1737.924,9520.988,9027,3356,3597.416,7921.463,7836.064
"ENSG00000012174",2883.951,2908.88,2489.051,2307.949,4462.399,4748.876,3950.12,3539.583
"ENSG00000012211",1.023,4.065,0,5.056,0,0,0,0
"ENSG00000012223",0,2,5,16,0,0,2,0
"ENSG00000012232",4218.19,3847.458,4367.229,4272.218,6064.348,6654.466,6605.37,5976.102
"ENSG00000012504",0,0,4,0,0,0,0,0
"ENSG00000012660",15485,15564.001,8933,7774,14344,15425.001,11037,10054
"ENSG00000012779",0,0,58.844,45.422,0,0,0,14.39
"ENSG00000012817",2936.001,2568,2984.002,3182.001,4320,4890,4354.999,3937.999
